Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101325.324	101325.324	101325.324	101325.324	0	0	0	0	0	0	3
2	1	0	0.05	101325.911	101325.617	101325.324	101325.911	0.29321035	0	0	0	0	0	3
3	1	0	0.075	101326.689	101325.975	101325.324	101326.689	0.650459882	0	0	0	0	0	3
4	1	0	0.1	101327.656	101326.395	101325.324	101327.656	1.07069541	0	0	0	0	0	3
5	1	0	0.125	101328.802	101326.876	101325.324	101328.802	1.55218954	0	0	0	0	0	3
6	1	0	0.15	101331.055	101327.573	101325.324	101331.055	2.24861141	0	0	0	0	0	3
7	1	0	0.175	101333.456	101328.413	101325.324	101333.456	3.08912615	0	0	0	0	0	3
8	2	0	0.2	101334.915	101329.226	101325.324	101334.915	3.90179771	0	0	0	0	0	3
9	2	0	0.225	101335.013	101329.869	101325.324	101335.013	4.5447683	0	0	0	0	0	3
10	2	0	0.25	101333.991	101330.281	101325.324	101335.013	4.95696232	0	0	0	0	0	3
11	2	0	0.275	101331.997	101330.437	101325.324	101335.013	5.11293744	0	0	0	0	0	3
12	2	0	0.3	101330.281	101330.424	101325.324	101335.013	5.11293744	0	0	0	0	0	3
13	2	0	0.325	101329.267	101330.335	101325.324	101335.013	5.11293744	0	0	0	0	0	3
14	2	0	0.35	101329.241	101330.257	101325.324	101335.013	5.11293744	0	0	0	0	0	3
15	2	0	0.375	101329.458	101330.204	101325.324	101335.013	5.11293744	0	0	0	0	0	3
16	2	0	0.4	101330.182	101330.202	101325.324	101335.013	5.11293744	0	0	0	0	0	3
17	2	0	0.425	101330.599	101330.226	101325.324	101335.013	5.11293744	0	0	0	0	0	3
18	2	0	0.45	101331.058	101330.272	101325.324	101335.013	5.11293744	0	0	0	0	0	3
19	2	0	0.475	101331.454	101330.334	101325.324	101335.013	5.11293744	0	0	0	0	0	3
20	2	0	0.5	101331.59	101330.397	101325.324	101335.013	5.11293744	0	0	0	0	0	3
21	2	0	0.525	101331.88	101330.725	101325.911	101335.013	5.10735828	0	0	0	0	0	3
22	2	0	0.55	101332.241	101331.041	101326.689	101335.013	5.06661693	0	0	0	0	0	3
23	2	0	0.575	101332.648	101331.339	101327.656	101335.013	4.94433815	0	0	0	0	0	3
24	2	0	0.6	101333.046	101331.609	101328.802	101335.013	4.73235767	0	0	0	0	0	3
25	2	0	0.625	101333.403	101331.839	101329.241	101335.013	4.26597094	0	0	0	0	0	3
26	2	0	0.65	101333.659	101331.969	101329.241	101335.013	3.55568533	0	0	0	0	0	3
27	2	0	0.675	101333.901	101331.991	101329.241	101335.013	2.76523453	0	0	0	0	0	3
28	2	0	0.7	101334.114	101331.951	101329.241	101335.013	2.12226394	0	0	0	0	0	3
29	2	0	0.725	101334.287	101331.915	101329.241	101334.287	1.78890749	0	0	0	0	0	3
30	2	0	0.75	101334.421	101331.936	101329.241	101334.421	1.78890749	0	0	0	0	0	3
31	2	0	0.775	101334.494	101332.061	101329.241	101334.494	1.85890424	0	0	0	0	0	3
32	2	0	0.8	101334.553	101332.275	101329.241	101334.553	2.07247204	0	0	0	0	0	3
33	2	0	0.825	101334.6	101332.541	101329.241	101334.6	2.33911505	0	0	0	0	0	3
34	2	0	0.85	101334.638	101332.811	101329.458	101334.638	2.6089491	0	0	0	0	0	3
35	2	0	0.875	101334.668	101333.072	101330.182	101334.668	2.86944593	0	0	0	0	0	3
36	2	0	0.9	101334.685	101333.297	101330.599	101334.685	3.07129989	0	0	0	0	0	3
37	3	0	0.925	101334.7	101333.502	101331.058	101334.7	3.23010676	0	0	0	0	0	3
38	3	0	0.95	101334.713	101333.685	101331.454	101334.713	3.25886495	0	0	0	0	0	3
39	3	0	0.975	101334.726	101333.848	101331.59	101334.726	3.13551045	0	0	0	0	0	3
40	3	0	1	101334.735	101334.006	101331.88	101334.735	2.85489292	1.24853611	0	43.7	0	0	3
41	3	0	1.025	101334.742	101334.149	101332.241	101334.742	2.50156152	1.24853611	0	49.9	0	0	3
42	3	0	1.05	101334.747	101334.274	101332.648	101334.747	2.09895331	1.24853611	0	59.4	0	0	3
43	3	0	1.075	101334.753	101334.379	101333.046	101334.753	1.70667693	1.24853611	0	73.1	0	0	3
44	3	0	1.1	101334.756	101334.397	101333.046	101334.756	1.71040637	1.24853611	0	72.9	0	0	3
45	3	0	1.125	101334.76	101334.479	101333.403	101334.76	1.35669419	1.24853611	0	92	0	0	3
46	3	0	1.15	101334.762	101334.543	101333.659	101334.762	1.10271527	1.24853611	0	100	0	0	3
