Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.111832	293.111832	293.111832	293.111832	0	0	0	0	0	0	3
2	1	0	0.05	293.119591	293.115712	293.111832	293.119591	0.00387943876	0	0	0	0	0	3
3	1	0	0.075	293.127378	293.119601	293.111832	293.127378	0.00776831688	0	0	0	0	0	3
4	1	0	0.1	293.135234	293.123509	293.111832	293.135234	0.0116767139	0	0	0	0	0	3
5	1	0	0.125	293.143424	293.127492	293.111832	293.143424	0.0156596473	0	0	0	0	0	3
6	1	0	0.15	293.15778	293.13254	293.111832	293.15778	0.0207076259	0	0	0	0	0	3
7	1	0	0.175	293.174858	293.138585	293.111832	293.174858	0.0267531149	0	0	0	0	0	3
8	2	0	0.2	293.191743	293.14523	293.111832	293.191743	0.033397863	0	0	0	0	0	3
9	2	0	0.225	293.207352	293.152133	293.111832	293.207352	0.0403002703	0	0	0	0	0	3
10	2	0	0.25	293.22174	293.159093	293.111832	293.22174	0.0472609801	0	0	0	0	0	3
11	2	0	0.275	293.240678	293.16651	293.111832	293.240678	0.0546778101	0	0	0	0	0	3
12	2	0	0.3	293.258014	293.174135	293.111832	293.258014	0.0623031481	0	0	0	0	0	3
13	2	0	0.325	293.273811	293.181803	293.111832	293.273811	0.0699704954	0	0	0	0	0	3
14	2	0	0.35	293.288159	293.1894	293.111832	293.288159	0.0775673857	0	0	0	0	0	3
15	2	0	0.375	293.3008	293.196826	293.111832	293.3008	0.0849940954	0	0	0	0	0	3
16	2	0	0.4	293.315567	293.204248	293.111832	293.315567	0.0924153877	0	0	0	0	0	3
17	2	0	0.425	293.327624	293.211505	293.111832	293.327624	0.0996728363	0	0	0	0	0	3
18	2	0	0.45	293.337549	293.218508	293.111832	293.337549	0.106675279	0	0	0	0	0	3
19	2	0	0.475	293.345643	293.225199	293.111832	293.345643	0.113366597	0	0	0	0	0	3
20	2	0	0.5	293.352083	293.231543	293.111832	293.352083	0.119710809	0	0	0	0	0	3
21	2	0	0.525	293.358211	293.243862	293.119591	293.358211	0.128150308	0	0	0	0	0	3
22	2	0	0.55	293.36293	293.256029	293.127378	293.36293	0.13642838	0	0	0	0	0	3
23	2	0	0.575	293.366492	293.267985	293.135234	293.366492	0.144475659	0	0	0	0	0	3
24	2	0	0.6	293.369105	293.279678	293.143424	293.369105	0.152186242	0	0	0	0	0	3
25	2	0	0.625	293.370972	293.291056	293.15778	293.370972	0.158515667	0	0	0	0	0	3
26	2	0	0.65	293.372234	293.301778	293.174858	293.372234	0.163192905	0	0	0	0	0	3
27	2	0	0.675	293.373047	293.311688	293.191743	293.373047	0.166457567	0	0	0	0	0	3
28	2	0	0.7	293.373561	293.320779	293.207352	293.373561	0.166209404	0	0	0	0	0	3
29	2	0	0.725	293.373883	293.329105	293.22174	293.373883	0.152143098	0	0	0	0	0	3
30	2	0	0.75	293.374082	293.336722	293.240678	293.374082	0.133403736	0	0	0	0	0	3
31	2	0	0.775	293.374176	293.343397	293.258014	293.374176	0.116162308	0	0	0	0	0	3
32	2	0	0.8	293.374231	293.349208	293.273811	293.374231	0.10041994	0	0	0	0	0	3
33	2	0	0.825	293.37426	293.35423	293.288159	293.37426	0.086100522	0	0	0	0	0	3
34	2	0	0.85	293.374272	293.358536	293.3008	293.374272	0.0734715076	0	0	0	0	0	3
35	2	0	0.875	293.374277	293.36221	293.315567	293.374277	0.0587101257	0	0	0	0	0	3
36	2	0	0.9	293.374274	293.365145	293.327624	293.374277	0.0466528851	0	0	0	0	0	3
37	3	0	0.925	293.374282	293.367478	293.337549	293.374282	0.0367333762	0	0	0	0	0	3
38	3	0	0.95	293.374291	293.369315	293.345643	293.374291	0.0286484604	0	0	0	0	0	3
39	3	0	0.975	293.374296	293.370748	293.352083	293.374296	0.0222126391	0	0	0	0	0	3
40	3	0	1	293.374302	293.371859	293.358211	293.374302	0.0160907268	0.0370385096	0	100	0	0	3
41	3	0	1.025	293.374302	293.372663	293.36293	293.374302	0.0113723076	0.0370386194	0	100	0	0	3
42	3	0	1.05	293.374307	293.373232	293.366492	293.374307	0.00781512034	0.0370389571	0	100	0	0	3
43	3	0	1.075	293.37432	293.373624	293.369105	293.37432	0.00521517016	0.0370385096	0	100	0	0	3
44	3	0	1.1	293.374327	293.373657	293.369105	293.374327	0.00522282117	0.0370385096	0	100	0	0	3
45	3	0	1.125	293.374334	293.373906	293.370972	293.374334	0.00336207893	0.0370385096	0	100	0	0	3
46	3	0	1.15	293.374339	293.374067	293.372234	293.374339	0.00210486344	0.0370385096	0	100	0	0	3
